latitude,longitude,cluster
41.85,-87.65,7
-17.383333,-66.166667,1
32.7152778,-117.1563889,4
29.4658333,-81.2580556,2
47.5675,-122.6313889,5
41.52,-81.4888889,7
44.5366667,-122.9058333,5
27.9472222,-82.4586111,2
40.9008333,-73.3436111,7
42.1033333,-76.2625,7
42.5777778,-70.7694444,7
39.7683333,-86.1580556,8
33.5394444,-83.8194444,9
43.1636111,-73.0727778,7
39.9369444,-120.9461111,0
43.683333,-79.766667,7
35.2619444,-81.1875,8
42.888614,-78.872212,7
33.8702778,-117.9244444,4
39.1155556,-77.5638889,8
39.6477778,-104.9872222,0
33.9908333,-118.4591667,4
47.5675,-122.6313889,5
29.7027778,-98.1241667,9
30.4866667,-90.9561111,9
44.8755556,-91.9191667,7
41.7308333,-84.9327778,7
39.1580556,-75.5247222,8
41.4277778,-74.1663889,7
34.5022222,-97.9575,9
36.1658333,-86.7844444,8
40.5697222,-79.765,7
48.0519444,-122.1758333,5
29.4238889,-98.4933333,9
53.666667,-3.0,6
41.7,-71.6833333,7
37.1752778,-101.3491667,0
32.1572222,-94.3372222,9
3.139003,101.686855,3
38.2972222,-122.2844444,0
30.3319444,-81.6558333,9
39.6363889,-74.8027778,7
44.583333,-75.683333,7
40.3041667,-73.9927778,7
39.613584,-84.160146,8
46.2633333,-119.4866667,5
37.5388889,-87.2583333,8
29.7233333,-98.9355556,9
42.0963889,-79.3758333,7
51.316667,-0.266667,6
38.7316667,-82.9977778,8
29.186896,-89.936737,9
51.916667,-0.65,6
47.6761111,-120.2072222,5
27.9375,-82.2861111,2
33.4511111,-86.9966667,9
51.628347,0.814539,6
42.5833333,-71.8027778,7
41.083152,-73.920137,7
42.4605556,-83.6516667,7
41.6777778,-79.88,7
38.7522222,-121.2869444,0
46.8219444,-123.095,5
28.1458333,-82.7569444,2
13.728,-60.954,2
40.0213889,-122.0991667,0
32.4616667,-90.1152778,9
47.2033333,-122.2391667,5
36.9902778,-86.4436111,8
41.3305556,-72.9722222,7
34.028926,-84.198579,9
26.3180556,-80.1,2
41.4047222,-81.7230556,7
46.6633333,-123.8033333,5
53.29279,-6.141937,6
35.6838889,-82.0094444,8
30.1686111,-93.3758333,9
34.4838889,-114.3216667,4
35.3733333,-119.0177778,4
47.2033333,-122.2391667,5
44.9133333,-93.5030556,7
34.1722222,-118.3780556,4
41.2455556,-89.9247222,7
40.7086111,-113.1166667,0
33.3391667,-84.6486111,9
30.6236111,-84.4147222,9
28.8002778,-81.2733333,2
18.4463889,-66.3880556,2
44.3875,-68.2044444,7
34.9494444,-81.9322222,8
53.166667,-2.583333,6
41.9438889,-85.6325,7
44.8041667,-93.1666667,7
38.7522222,-121.2869444,0
36.6230556,-93.1638889,8
47.5675,-122.6313889,5
34.1063889,-117.5922222,4
29.38421,-98.581082,9
41.6580556,-90.5844444,7
41.9316667,-87.9888889,7
42.3636111,-87.8447222,7
33.1505556,-96.8233333,9
35.2219444,-101.8308333,4
49.683333,-125.0,5
21.5902778,-158.1125,1
41.7675,-76.4430556,7
36.5297222,-87.3594444,8
40.975,-81.4083333,7
36.175,-115.1363889,4
34.9191667,-115.0619444,4
48.3888889,-122.495,5
37.0561111,-85.0886111,8
41.6005556,-93.6088889,7
38.2547222,-121.2988889,0
39.1652778,-86.5263889,8
26.5625,-81.9497222,2
29.31166,47.481766,6
27.9655556,-82.8002778,2
40.5741667,-74.6102778,7
37.3394444,-121.8938889,0
41.5427778,-87.6847222,7
36.8044444,-121.7858333,0
26.6833333,-80.28,2
33.0580556,-112.0469444,4
26.6155556,-80.0572222,2
29.1691667,-95.4316667,9
41.485711,-71.563662,7
31.7619444,-95.6305556,9
36.188137,-94.540496,8
43.0125,-83.6875,7
32.7447222,-116.9980556,4
42.9633333,-85.6680556,7
40.566428,-89.731773,8
34.1577778,-118.6375,4
42.3086111,-83.4822222,7
30.5402778,-88.6875,9
42.9119444,-77.7458333,7
28.5380556,-81.3794444,2
46.0,-64.55,7
40.0175,-90.4241667,8
34.2241667,-118.2391667,4
39.9561111,-75.0583333,7
41.5569444,-83.6272222,7
51.38847,-0.416969,6
37.8361111,-87.59,8
44.98,-93.2636111,7
46.62794,14.30899,6
35.2225,-97.4391667,9
18.220833,-66.590149,2
34.3916667,-118.5416667,4
40.3336111,-75.6377778,7
42.5830556,-83.3594444,7
34.0522222,-118.2427778,4
40.8808333,-88.6297222,7
34.2783333,-119.2922222,4
42.2411111,-83.6130556,7
38.9886111,-78.3588889,8
32.7252778,-114.6236111,4
31.5544444,-110.3030556,4
42.0083333,-91.6438889,7
40.330188,-79.730701,7
33.9547222,-118.2111111,4
